id	title	author	gender	year-birth	year-death	year-worldcat	year-ref	language	translation	downloads	subjects	shortauthor	shorttitle	worldcaturl	Western	Adventure	Love	War	Humour	Sea	Pulp fiction	SciFi & Fantasy	General fiction	Mystery & Detective stories	Juvenile	Translations
PG61243	The Snowbank Orbit	Leiber, Fritz		1910.0	1992.0	1964.0	1964	['en']		27	{'Short stories', 'Space ships -- Fiction', 'Science fiction', 'War stories', 'Human-alien encounters -- Fiction'}	Fritz+Leiber	Snowbank+Orbit	https://www.worldcat.org/search?q=Fritz+Leiber+Snowbank+Orbit&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	1	0	0	0	1	0	0	0	0
PG51353	Dr. Kometevsky's Day	Leiber, Fritz		1910.0	1992.0	1964.0	1964	['en']		42	{'Short stories', 'Science fiction'}	Fritz+Leiber	Kometevsky	https://www.worldcat.org/search?q=Fritz+Leiber+Kometevsky&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG50999	Med Ship Man	Leinster, Murray		1896.0	1975.0	1964.0	1964	['en']		55	{'Life on other planets -- Fiction', 'Physicians -- Fiction', 'Space medicine -- Fiction', 'Science fiction', 'Medical fiction'}	Murray+Leinster	Ship	https://www.worldcat.org/search?q=Murray+Leinster+Ship&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG53015	A Guest of Ganymede	MacApp, C. C.		1917.0	1971.0	1964.0	1964	['en']		24	{'Thieves -- Fiction', 'Science fiction', 'Human-alien encounters -- Fiction'}	MacApp	Guest+Ganymede	https://www.worldcat.org/search?q=MacApp+Guest+Ganymede&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG51414	...So They Baked a Cake	Marks, Winston K. (Winston Kinney)		1915.0	1979.0	1964.0	1964	['en']		51	{'Time dilatation -- Fiction', 'Journalists -- Fiction', 'Space travelers -- Fiction', 'Short stories', 'Science fiction', 'Interstellar travel -- Fiction'}	Winston+Marks	They+Baked	https://www.worldcat.org/search?q=Winston+Marks+They+Baked&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG351	Of Human Bondage	Maugham, W. Somerset (William Somerset)		1874.0	1965.0	1964.0	1964	['en']		663	{'Bildungsromans', 'Physicians -- Fiction', 'Artists -- Fiction', 'Orphans -- Fiction', 'People with disabilities -- Fiction'}	Somerset+Maugham	Human+Bondage	https://www.worldcat.org/search?q=Somerset+Maugham+Human+Bondage&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	1	0	0	0
PG61397	The Faces Outside	McAllister, Bruce		1946.0		1964.0	1964	['en']		15	{'Man-woman relationships -- Fiction', 'Short stories', 'Science fiction', 'Parapsychology -- Fiction', 'Human-alien encounters -- Fiction'}	Bruce+McAllister	Faces+Outside	https://www.worldcat.org/search?q=Bruce+McAllister+Faces+Outside&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG24399	Criminal Negligence	McComas, J. Francis		1911.0	1978.0	1964.0	1964	['en']		24	{'Short stories', 'Prisons -- Fiction', 'Science fiction'}	Francis+McComas	Criminal+Negligence	https://www.worldcat.org/search?q=Francis+McComas+Criminal+Negligence&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG30438	The Eyes Have It	McKimmey, James		1923.0	2011.0	1964.0	1964	['en']		40	{'Short stories', 'Science fiction'}	James+McKimmey	Eyes+Have	https://www.worldcat.org/search?q=James+McKimmey+Eyes+Have&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG51072	Shamar's War	Neville, Kris		1925.0	1980.0	1964.0	1964	['en']		24	{'Political fiction', 'Spies -- Fiction', 'Extrasolar planets -- Fiction', 'Science fiction'}	Kris+Neville	Shamar	https://www.worldcat.org/search?q=Kris+Neville+Shamar&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	1	0	0	0
PG30960	The People of the Crater	Norton, Andre		1912.0	2005.0	1964.0	1964	['en']		80	{'Air pilots -- Fiction', 'Science fiction'}	Andre+Norton	People+Crater	https://www.worldcat.org/search?q=Andre+Norton+People+Crater&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG29822	Rescue Squad	O'Hara, Thomas J.				1964.0	1964	['en']		12	{'Short stories', 'Space flight -- Fiction', 'Science fiction'}	Thomas+Hara	Rescue+Squad	https://www.worldcat.org/search?q=Thomas+Hara+Rescue+Squad&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
