,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,directspeech_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
PG10340,4.284074775043582,5.361786463025538,5.7203568282688835,93.15599719449435,8.585245967790238,27.215950774359523,8.065864528924394,1.7859116022099448,2.899456425341524,3.971264286019271,1.1496705142255306,16.17426335174954,4344.0,0.08323251875151222,0.641804788213628,279025,80777,70261,5848,4344,1,7758,3716,9332,2500,909,95,908,166,382,89,252,85
PG10359,5.273921426655338,6.590219904843533,7.254216734586926,86.0582089860269,9.961716976341116,32.02149266854038,9.508602366246134,2.563174603174603,3.7989255452610107,4.232143207647162,1.2335760692484345,16.173650793650793,3150.0,0.1244037921761831,0.5977777777777777,215615,62847,50947,6338,3150,1,8074,4448,9669,1617,596,122,486,200,449,58,256,63
PG10368,7.469313588757306,8.64930629942005,7.06166531015263,79.46018053597791,12.150180675312464,36.97283669635534,10.613732554957783,3.3379578246392896,3.545341213969511,4.124446528103349,1.2499869771318435,21.30632630410655,1802.0,0.11327290722508725,0.44006659267480575,158354,47992,38394,4349,1802,1,6015,3482,6051,1596,763,78,620,168,380,31,67,72
PG1036,4.596250563970955,6.0586760156200725,5.701065496861155,93.95287395121593,8.84905750378114,29.12619804305698,7.7712259072199075,2.0109345987208584,3.0691483215693047,3.938330871491876,1.1198070531757756,17.878275221786673,4847.0,0.086410635155096,0.4198473282442748,341280,97038,86656,7488,4847,1,9747,3678,11977,2619,767,268,1769,217,288,99,337,65
PG10372,3.796614087134053,4.685037880095848,6.596132216929647,90.25005279492804,8.072594305129346,28.410601178684317,8.356043605989013,1.991507125377861,3.7811997555544044,4.209080403217501,1.2271359428813347,12.580538361882827,6947.0,0.11841367552661991,0.48711674103929753,367861,107248,87397,10349,6947,1,13835,6643,17475,2342,979,203,1626,475,603,164,520,160
PG10374,5.4166407027791905,7.300449102683089,7.954273870108594,85.6820497197173,9.428979316267844,33.71407907573203,8.907936777986244,2.8405732198835647,3.7869240930014905,4.344368619167547,1.233663714896959,16.536945812807883,4466.0,0.10592520378043166,0.5055978504254366,320849,91111,73854,7823,4466,1,12686,5196,13876,1855,608,53,730,274,479,66,505,124
PG10379,5.570715068730145,6.9964101166042845,6.72158834644344,87.46806075931953,9.915089940052372,32.49662398277292,9.009009238046495,2.6035347504179605,3.3985395482500893,4.107528720137304,1.1930808635440024,18.159899689515164,8374.0,0.06819183144715298,0.5071650346310007,624636,181433,152071,10370,8374,1,21802,10079,24056,5006,2421,324,2371,418,1100,183,361,193
PG10391,6.897968706499029,8.383354104335904,8.004951118284836,79.43458301210666,11.24016624155362,35.768535802038954,10.203872198192256,3.1861971830985913,3.9226283194493714,4.3136513304262705,1.2780546409183946,18.992112676056337,3550.0,0.12028714662869687,0.13126760563380283,290835,86169,67422,8110,3550,1,11311,6141,12727,2893,896,166,1377,271,676,106,518,63
PG10402,5.010512148665729,6.246256015345043,8.32638674683777,82.42389962636584,9.349560030378361,32.2448409029659,9.356037654048777,2.506326352530541,4.062211645415617,4.488285552181023,1.3137369422287488,13.072862129144852,4584.0,0.1378032907252278,0.36038394415357766,268965,78727,59926,8258,4584,1,11489,6173,12956,1724,828,168,1134,294,569,146,549,91
PG10433,6.123328066215336,7.800768213944497,6.966952485490612,86.00462756769019,10.390848570964266,32.903362697859336,9.135555439320118,2.6097941359950094,3.205451414961309,4.129388692241462,1.193548901431806,19.562694946974425,3206.0,0.097085366242546,0.6487835308796007,258987,74857,62718,6089,3206,1,8367,4023,8878,2135,935,232,642,208,417,123,143,57
PG10436,7.324112651399886,9.234836587230205,7.36585800825911,81.85551165504819,11.45340319690967,35.02487101521614,9.593353088028785,2.8594401429422276,3.0532357615989856,4.16804318488529,1.2125506072874495,22.066706372840976,1679.0,0.09354925775978408,0.4425253126861227,154426,44925,37050,3466,1679,1,4801,2433,4596,1138,813,173,304,212,200,63,134,34
PG10440,6.264089508831166,7.405540278539625,8.35182768395373,78.68055831634565,10.760151006395697,35.2626078532403,10.2315561448581,3.0825755713934626,4.1007737461205895,4.421855341086936,1.322659342682665,16.017203244040306,4069.0,0.1376929450394329,0.5455885967068076,288190,86203,65174,8974,4069,1,12543,7093,13647,2070,766,178,680,244,704,77,250,64
PG10441,5.377418434404849,6.429859343312344,7.942778057370859,82.13130285862651,9.856490450342264,33.24379362998856,9.652828660336391,2.712859659424545,3.9474461571490513,4.387921709492418,1.3014470273690226,14.385496183206106,3406.0,0.14815192766904095,0.5736934820904287,214995,63767,48997,7259,3406,1,9240,5025,10035,1361,580,195,745,151,434,68,162,55
PG10449,4.4785644789813475,5.737660209579516,5.973014477331088,92.51212921228202,9.014417849980171,29.517583374833286,8.438329493763426,2.1444790046656297,3.3134982435352978,4.006334926436136,1.1522256583263049,16.595645412130636,6430.0,0.0686533595726736,0.42892690513219284,427516,122954,106710,7326,6430,1,13789,6339,16830,3553,1783,312,1964,527,899,121,621,123
PG10452,5.875778025724944,6.826074253344515,7.431222330880701,82.1511797995345,9.876147437312845,32.42243055989623,9.386080151738899,2.6276683087027917,3.66140167357249,4.257902244913282,1.2770102860575119,16.40270935960591,4872.0,0.10234752358785694,0.5685550082101807,340266,102051,79914,8179,4872,1,12802,6623,14413,2767,1326,264,1182,266,638,90,289,72
PG10455,12.087914639844993,14.662726166019588,10.041931898029599,60.331066988400806,15.778994663096961,49.19590818363329,12.487283565082585,5.8426902251353665,5.101958045184947,4.567713118439314,1.381902769904412,29.15759475634084,3509.0,0.10490255488007506,0.5189512681675691,467341,141388,102314,10733,3509,1,20502,10528,23688,3495,1442,435,595,344,1366,49,290,58
PG10463,3.2832959925137395,4.780671032957937,5.936177834255094,96.95142625169566,6.9730337760214045,24.938713637841296,6.6764770523537225,1.5221815221815223,2.686041101847727,4.049318661269171,1.1275728376760363,14.276760276760276,2457.0,0.09339186954786476,0.2498982498982499,142042,39553,35078,3276,2457,1,3740,1107,4394,1239,392,313,643,317,37,71,203,38
PG10465,3.062695651067891,4.147810347532253,5.9310672963303865,95.48906557583447,7.57717156735607,25.431968521151465,7.902706362853612,1.6167427701674277,3.05735636409419,4.096378830083565,1.1653627225384522,12.567732115677321,3285.0,0.11786363085866537,0.6815829528158295,169119,48112,41285,4866,3285,1,5311,2632,6364,1407,704,130,537,115,211,39,181,41
PG10466,4.471415754057265,5.834227195760214,6.368138609397683,91.61042243919604,8.550512380701061,28.527950037384002,8.060818917120837,2.0023310023310024,2.8047319677178173,4.0836357039187225,1.1693033381712628,16.060606060606062,1716.0,0.12155297532656023,0.47086247086247085,112545,32226,27560,3350,1716,1,3436,1465,3505,1179,432,125,485,109,76,63,82,37
PG10468,5.81132029619042,6.711023507758277,8.131039163101121,79.6187255156742,10.41132456594332,33.582251806154694,10.066545831347947,2.7765814266487214,4.039975036083719,4.411958310477235,1.3271164746754434,14.721399730820997,2972.0,0.13880508319619675,0.4798115746971736,193032,58064,43752,6073,2972,1,8252,4947,9171,1543,598,132,632,222,527,59,210,78
PG10471,7.1583244165275595,8.629342121248278,8.105614568659501,78.2440964087959,11.157149160162007,37.2312361689205,10.037101257805901,3.45969536197159,3.7073370467086697,4.325579340748659,1.2875721138979936,19.37172685264419,5843.0,0.09912624018234988,0.27947971932226595,489608,145739,113189,11220,5843,1,20215,9645,19688,3828,1376,396,1473,665,1102,154,456,182
PG10473,2.3805345040469916,3.0871919941254617,5.263423239706409,97.52465400075833,6.689156829587678,23.731229967926637,7.352131878569107,1.399811742557948,3.1520483494646725,4.041367543379583,1.1605339686014444,10.964701729615248,8499.0,0.08652308748886671,0.5335921873161549,376611,108149,93189,8063,8499,1,11897,5366,15393,2553,913,402,1667,443,354,199,358,114
PG10474,6.036977174516252,7.217341511443244,7.631169314137328,81.98777831735032,10.158259980711918,33.816180006007244,9.551410875220585,2.8588082901554404,3.702213661982626,4.281829985488429,1.2722574403625346,16.95984455958549,4632.0,0.10872221797907279,0.34067357512953367,336372,99946,78558,8541,4632,1,13242,6627,14234,2976,1491,165,1688,328,732,122,322,165
PG10476,6.8427479273035345,8.02340515096229,8.21573888471113,77.63883125789155,11.719516569685918,37.000274672840455,10.840642936054419,3.417096536477524,4.084833995103661,4.367856031531999,1.3140441862877295,17.761606484893147,5428.0,0.0931853542163676,0.5514001473839352,421105,126687,96410,8984,5428,1,18548,11123,19562,4078,1717,416,1265,433,1482,101,347,118
PG1047,8.084632859556475,9.355421111746136,9.073941076476306,71.40057437608269,12.504852971973383,39.620996358090025,11.327810833646781,3.9215070643642074,4.4946490754149035,4.491797376519099,1.3698279317161315,19.258110936682364,7644.0,0.10000747236921656,0.2587650444793302,661233,201651,147209,14722,7644,1,29976,17671,32998,4445,1504,423,3319,484,2061,137,443,123
PG1048,4.881716154514724,6.235089724656575,6.743633201282879,89.10405984991684,9.05048674424902,30.34319528820085,8.560597575690315,2.2889278410750804,3.4013523078385166,4.142800831362431,1.1959972765713467,16.304995617879054,3423.0,0.13504264315917724,0.22670172363423896,231218,66751,55812,7537,3423,1,7835,3528,9164,2052,760,302,1020,394,384,110,359,94
PG10521,6.770662274997964,8.077403295582762,7.408453856464828,81.04999810237686,11.024231653334274,35.170667697794094,9.894894175943561,3.0599926389400074,3.401865043769561,4.2068117744216735,1.2542265085859112,19.38663967611336,5434.0,0.0747624517072152,0.4598822230401178,443175,132129,105347,7876,5434,1,16628,8611,16281,4048,1517,222,1343,384,851,91,360,144
PG1053,4.801720796005146,5.797863945127329,7.212016270797459,86.04278056734712,9.034573959674729,30.90541775908865,8.967658473673087,2.3737373737373737,3.6004545484841763,4.266613020037016,1.256666934899815,14.264233241505968,4356.0,0.12299026313671843,0.26836547291092744,265106,78083,62135,7642,4356,1,10340,5171,11384,1915,759,384,1249,353,592,107,350,72
PG10540,7.458703073136125,9.106100188706861,7.508920078246785,79.92767084061741,11.469797310887282,35.9166391378926,9.794347607528943,3.0977226866532144,3.6230967927894104,4.198101079358278,1.2418244636687468,21.52608820985875,3469.0,0.11010525751935078,0.5064860190256558,313489,92732,74674,8222,3469,1,10746,5338,12085,2442,1206,53,777,109,476,87,228,80
PG10542,15.977444472590516,20.47697877777403,6.978424990347115,62.970185467299885,20.760322541705275,58.002284606582165,11.822993824680431,5.4195751138088015,4.9430387221044905,3.982808351633944,1.145088334589793,46.295902883156295,1318.0,0.07592841456619358,0.014415781487101669,243023,69871,61018,4633,1318,1,7143,3420,10228,1741,592,412,118,245,389,15,26,23
PG10548,6.250556474933784,7.782171684770724,8.312973992301526,80.53614017277832,10.107886078102599,36.0449089937061,9.493353244944892,3.237727272727273,3.918275761949892,4.397006148088746,1.2888799786153435,17.004545454545454,2200.0,0.17169206094627104,0.4068181818181818,164492,48217,37410,6423,2200,1,7123,3092,7285,975,540,150,575,206,273,36,172,38
PG10554,2.6218823665574256,3.248053215084468,4.642211713965821,99.3164335290462,7.792132988790633,26.121817763018328,8.03838767052232,1.7057324840764332,4.393750605008947,3.865595432902297,1.1156292678125423,12.9421974522293,6280.0,0.10052044243758997,0.524203821656051,314184,90675,81277,8170,6280,1,10712,5314,19312,2732,1261,364,1668,324,563,130,258,120
PG1056,5.041083870191464,6.179143007946799,6.64011047478235,88.07833179249585,9.853959823276135,31.84916633994093,9.370828041412224,2.533934134401424,4.447763152598505,4.123957618306499,1.2073345611972353,16.370605251446374,8988.0,0.0827312948980216,0.30863373386737875,606795,177646,147139,12173,8988,1,22775,12160,33880,5268,1570,741,3163,753,1246,203,563,167
PG10561,3.7436860824848956,4.796645990260188,6.096115023094118,93.12680330080984,8.433879990618879,28.335755352757772,8.458174297937605,2.0069444444444446,3.399051677565323,4.08393344921778,1.1763099081201887,13.98263888888889,288.0,0.2962503104047678,0.6388888888888888,16446,4737,4027,1193,288,1,578,286,690,78,38,2,48,4,28,6,14,1
PG10562,2.459148126747543,3.508309291808331,4.889027855356705,100.7922800415271,7.560594969607488,25.00592478611727,7.771296816579022,1.5594855305466238,3.302208554363224,3.90242706545722,1.0961019857808287,13.115755627009646,311.0,0.2782544741358176,0.7877813504823151,15918,4471,4079,1135,311,1,485,236,685,87,36,2,31,10,32,5,7,3
PG10563,2.5760620496475433,3.461205518783224,3.379349443894764,105.29125048070186,7.46134309728428,24.74735369553811,6.504655289133608,1.391304347826087,3.7143025638518723,3.5743197661344728,1.0069709916797842,16.11231884057971,276.0,0.20508207780526197,0.8840579710144928,15895,4478,4447,912,276,1,384,113,821,124,65,3,61,2,2,12,5,5
PG10564,2.7733105468750026,3.839563989883814,5.296926677978515,98.56206906049681,7.897766426282051,25.847931690705128,8.104673575038106,1.669871794871795,3.2648357321714743,3.971435546875,1.122314453125,13.128205128205128,312.0,0.288330078125,0.6346153846153846,16267,4597,4096,1181,312,1,521,271,678,87,44,2,60,11,33,1,15,6
PG10565,4.024652164663333,4.4504137857674735,4.1933006309257905,96.35942479523459,8.05214338900117,26.70767294259476,7.032431549534433,1.6554621848739495,3.9788455270715883,3.697691734921817,1.1027550260610572,16.928571428571427,238.0,0.22362869198312235,0.9159663865546218,14898,4443,4029,901,238,1,394,129,801,125,43,5,34,4,6,3,8,1
PG10566,3.0707654280375216,4.267961100374194,6.002077843105759,95.75128788190304,7.787061785252501,27.90138940289029,8.069483080460145,1.931740614334471,2.8940267189348976,4.10281124497992,1.1601070950468542,12.747440273037542,293.0,0.2674698795180723,0.6450511945392492,15324,4333,3735,999,293,1,566,251,535,101,59,3,37,14,19,6,5,7
PG10567,4.168687782805431,4.728668929110107,4.328833503393668,96.04768476621419,7.856410256410256,25.862745098039213,6.464101615137754,1.4784313725490197,4.007016138763198,3.7138009049773757,1.10158371040724,17.333333333333332,255.0,0.21470588235294116,0.9372549019607843,16415,4869,4420,949,255,1,377,102,881,130,33,2,40,0,7,5,5,1
PG10568,3.0536696946198454,4.219913454082199,6.073405094498909,95.33955599867068,7.822120305749419,27.888634097706877,8.151929044674038,1.9220338983050846,2.9695534843617297,4.124455337690632,1.1685729847494553,12.447457627118643,295.0,0.28649237472766886,0.6915254237288135,15145,4291,3672,1052,295,1,567,261,547,69,43,5,37,11,19,8,9,3
PG10569,2.159807845134427,2.7503472237767994,2.860313888943608,106.9758348303896,7.187258325684822,22.96691459037556,6.454246398538787,1.1666666666666667,3.745228897196541,3.5008618566855456,0.9958138389559222,15.382575757575758,264.0,0.2226052696380202,0.928030303030303,14217,4044,4061,904,264,1,308,105,767,112,50,4,43,0,7,6,4,2
